Модель,Доля верных прогнозов,S-ROC,Точность,Полнота,F1-мера
Бейзлайн (stratified),0.5133333333333333,0.5007578889348215,-,-,-
Логистическая регрессия,0.8016666666666666,0.87564879886087,0.7953,0.6951,0.7419
